date,financial_year,year,primary,secondary,total,primary_pct,secondary_pct
2006-06-30,2005-06,2006,176800,14518,191318,92.41158699129198,7.588413008708014
2007-06-30,2006-07,2007,211256,19538,230794,91.53444196989523,8.465558030104768
2008-06-30,2007-08,2008,248346,30358,278704,89.10744015155865,10.892559848441358
2009-06-30,2008-09,2009,276272,43358,319630,86.43494039983732,13.565059600162687
2010-06-30,2009-10,2010,236183,34310,270493,87.31575308788028,12.684246912119724
2011-06-30,2010-11,2011,215906,34529,250435,86.2123904406333,13.7876095593667
2012-06-30,2011-12,2012,213866,39180,253046,84.51664914679544,15.483350853204556
2013-06-30,2012-13,2013,222899,36379,259278,85.96911423259975,14.030885767400243
2014-06-30,2013-14,2014,252114,39946,292060,86.3226734232692,13.677326576730808
2015-06-30,2014-15,2015,259791,39749,299540,86.72998597850037,13.270014021499632
2016-06-30,2015-16,2016,273695,37150,310845,88.0487059466937,11.951294053306311
2017-06-30,2016-17,2017,303418,39617,343035,88.45103269345694,11.548967306543064
2018-06-30,2017-18,2018,333014,45278,378292,88.03093906294608,11.969060937053916
2019-06-30,2018-19,2019,354594,51148,405742,87.39395970838612,12.606040291613882
2020-06-30,2019-20,2020,292439,47713,340152,85.97303558409182,14.026964415908182
2021-06-30,2020-21,2021,195164,37586,232750,83.85134264232008,16.148657357679912
2022-06-30,2021-22,2022,230875,32862,263737,87.5398597845581,12.4601402154419
2023-06-30,2022-23,2023,499696,77599,577295,86.55817216501096,13.441827834989043
2024-06-30,2023-24,2024,331775,44956,376731,88.06681690649296,11.933183093507038
2025-06-30,2024-25,2025,322773,48791,371564,86.86874939445156,13.13125060554844
2026-06-30,2025-26 to 30 June 2026,2026,291536,45991,337527,86.37412710686849,13.625872893131513
