date,financial_year,year,applicant_type,visas_granted
2006-06-30,2005-06,2006,Primary Total,176800
2006-06-30,2005-06,2006,Secondary Total,14518
2006-06-30,2005-06,2006,Grand Total,191318
2007-06-30,2006-07,2007,Primary Total,211256
2007-06-30,2006-07,2007,Secondary Total,19538
2007-06-30,2006-07,2007,Grand Total,230794
2008-06-30,2007-08,2008,Primary Total,248346
2008-06-30,2007-08,2008,Secondary Total,30358
2008-06-30,2007-08,2008,Grand Total,278704
2009-06-30,2008-09,2009,Primary Total,276272
2009-06-30,2008-09,2009,Secondary Total,43358
2009-06-30,2008-09,2009,Grand Total,319630
2010-06-30,2009-10,2010,Primary Total,236183
2010-06-30,2009-10,2010,Secondary Total,34310
2010-06-30,2009-10,2010,Grand Total,270493
2011-06-30,2010-11,2011,Primary Total,215906
2011-06-30,2010-11,2011,Secondary Total,34529
2011-06-30,2010-11,2011,Grand Total,250435
2012-06-30,2011-12,2012,Primary Total,213866
2012-06-30,2011-12,2012,Secondary Total,39180
2012-06-30,2011-12,2012,Grand Total,253046
2013-06-30,2012-13,2013,Primary Total,222899
2013-06-30,2012-13,2013,Secondary Total,36379
2013-06-30,2012-13,2013,Grand Total,259278
2014-06-30,2013-14,2014,Primary Total,252114
2014-06-30,2013-14,2014,Secondary Total,39946
2014-06-30,2013-14,2014,Grand Total,292060
2015-06-30,2014-15,2015,Primary Total,259791
2015-06-30,2014-15,2015,Secondary Total,39749
2015-06-30,2014-15,2015,Grand Total,299540
2016-06-30,2015-16,2016,Primary Total,273695
2016-06-30,2015-16,2016,Secondary Total,37150
2016-06-30,2015-16,2016,Grand Total,310845
2017-06-30,2016-17,2017,Primary Total,303418
2017-06-30,2016-17,2017,Secondary Total,39617
2017-06-30,2016-17,2017,Grand Total,343035
2018-06-30,2017-18,2018,Primary Total,333014
2018-06-30,2017-18,2018,Secondary Total,45278
2018-06-30,2017-18,2018,Grand Total,378292
2019-06-30,2018-19,2019,Primary Total,354594
2019-06-30,2018-19,2019,Secondary Total,51148
2019-06-30,2018-19,2019,Grand Total,405742
2020-06-30,2019-20,2020,Primary Total,292439
2020-06-30,2019-20,2020,Secondary Total,47713
2020-06-30,2019-20,2020,Grand Total,340152
2021-06-30,2020-21,2021,Primary Total,195164
2021-06-30,2020-21,2021,Secondary Total,37586
2021-06-30,2020-21,2021,Grand Total,232750
2022-06-30,2021-22,2022,Primary Total,230875
2022-06-30,2021-22,2022,Secondary Total,32862
2022-06-30,2021-22,2022,Grand Total,263737
2023-06-30,2022-23,2023,Primary Total,499696
2023-06-30,2022-23,2023,Secondary Total,77599
2023-06-30,2022-23,2023,Grand Total,577295
2024-06-30,2023-24,2024,Primary Total,331775
2024-06-30,2023-24,2024,Secondary Total,44956
2024-06-30,2023-24,2024,Grand Total,376731
2025-06-30,2024-25,2025,Primary Total,322773
2025-06-30,2024-25,2025,Secondary Total,48791
2025-06-30,2024-25,2025,Grand Total,371564
2026-06-30,2025-26 to 30 June 2026,2026,Primary Total,291536
2026-06-30,2025-26 to 30 June 2026,2026,Secondary Total,45991
2026-06-30,2025-26 to 30 June 2026,2026,Grand Total,337527
