date,financial_year,year,visas_granted,yoy_change,yoy_pct_change,period
2006-06-30,2005-06,2006,191318,NA,NA,Pre-COVID
2007-06-30,2006-07,2007,230794,39476,20.633709321652955,Pre-COVID
2008-06-30,2007-08,2008,278704,47910,20.758771891816945,Pre-COVID
2009-06-30,2008-09,2009,319630,40926,14.684396348814513,Pre-COVID
2010-06-30,2009-10,2010,270493,-49137,-15.373087632575167,Pre-COVID
2011-06-30,2010-11,2011,250435,-20058,-7.415349010880133,Pre-COVID
2012-06-30,2011-12,2012,253046,2611,1.0425859005330724,Pre-COVID
2013-06-30,2012-13,2013,259278,6232,2.4627933261146198,Pre-COVID
2014-06-30,2013-14,2014,292060,32782,12.64357176466958,Pre-COVID
2015-06-30,2014-15,2015,299540,7480,2.5611175785797435,Pre-COVID
2016-06-30,2015-16,2016,310845,11305,3.774120317820658,Pre-COVID
2017-06-30,2016-17,2017,343035,32190,10.355643487911982,Pre-COVID
2018-06-30,2017-18,2018,378292,35257,10.277959974929672,Pre-COVID
2019-06-30,2018-19,2019,405742,27450,7.256299366626838,Pre-COVID
2020-06-30,2019-20,2020,340152,-65590,-16.165445036501026,COVID-19 Border Closure
2021-06-30,2020-21,2021,232750,-107402,-31.57470777769938,COVID-19 Border Closure
2022-06-30,2021-22,2022,263737,30987,13.313426423200859,Recovery Phase
2023-06-30,2022-23,2023,577295,313558,118.89040976427275,Recovery Phase
2024-06-30,2023-24,2024,376731,-200564,-34.742029638226555,Post-Recovery
2025-06-30,2024-25,2025,371564,-5167,-1.3715356580690201,Post-Recovery
2026-06-30,2025-26 to 30 June 2026,2026,337527,-34037,-9.1604676448741,Post-Recovery
