financial_year,visas_granted,yoy_change,yoy_pct_change,period
2005-06,"191,318",      NA,—,Pre-COVID
2006-07,"230,794","  39,476",20.6%,Pre-COVID
2007-08,"278,704","  47,910",20.8%,Pre-COVID
2008-09,"319,630","  40,926",14.7%,Pre-COVID
2009-10,"270,493"," -49,137",-15.4%,Pre-COVID
2010-11,"250,435"," -20,058",-7.4%,Pre-COVID
2011-12,"253,046","   2,611",1%,Pre-COVID
2012-13,"259,278","   6,232",2.5%,Pre-COVID
2013-14,"292,060","  32,782",12.6%,Pre-COVID
2014-15,"299,540","   7,480",2.6%,Pre-COVID
2015-16,"310,845","  11,305",3.8%,Pre-COVID
2016-17,"343,035","  32,190",10.4%,Pre-COVID
2017-18,"378,292","  35,257",10.3%,Pre-COVID
2018-19,"405,742","  27,450",7.3%,Pre-COVID
2019-20,"340,152"," -65,590",-16.2%,COVID-19 Border Closure
2020-21,"232,750","-107,402",-31.6%,COVID-19 Border Closure
2021-22,"263,737","  30,987",13.3%,Recovery Phase
2022-23,"577,295"," 313,558",118.9%,Recovery Phase
2023-24,"376,731","-200,564",-34.7%,Post-Recovery
2024-25,"371,564","  -5,167",-1.4%,Post-Recovery
2025-26 to 30 June 2026,"337,527"," -34,037",-9.2%,Post-Recovery
